area_type,availability,location,size,society,total_sqft,bath,balcony,price
Built-up  Area,Ready To Move,Jalahalli,4 BHK,Tahtsla,3083,4.0,2.0,206.61289951237555
Built-up  Area,18-Dec,Electronic City,2 BHK,,1025,2.0,1.0,73.17806844676166
Plot  Area,Ready To Move,Marathahalli,2 Bedroom,,1353,2.0,0.0,100.78632209598156
Plot  Area,Ready To Move,Whitefield,5 Bedroom,,6369,4.0,,361.39360861829607
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Niborik,1085,2.0,1.0,71.71110590905568
Plot  Area,Ready To Move,4th Block Koramangala,2 Bedroom,,1200,2.0,1.0,93.64444065371237
Super built-up  Area,19-Dec,Hoodi,2 BHK,Caycend,1289,2.0,2.0,78.59836132242016
Plot  Area,Ready To Move,Horamavu Agara,5 Bedroom,,1200,4.0,1.0,157.1364597590562
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,,2300,3.0,3.0,143.98874954095245
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Klark L,1691 - 2170,3.0,0.0,132.85657906413962
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,NiarkHy,1021,2.0,2.0,68.06668435516573
Super built-up  Area,Ready To Move,Frazer Town,3 BHK,Asareur,1750,3.0,3.0,122.37523337681094
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Prlla C,1404,2.0,2.0,83.11755106583158
Super built-up  Area,Ready To Move,KR Puram,2 BHK,,1060,2.0,1.0,70.72867335614016
Super built-up  Area,Ready To Move,"C P Cassia Apartment,",2 BHK,,1029,1.0,2.0,51.50245188627842
Built-up  Area,Ready To Move,Neeladri Nagar,2 BHK,,850,2.0,3.0,64.15220967342532
Built-up  Area,19-Oct,Whitefield,4 Bedroom,,3565,4.0,1.0,226.68359335101303
Super built-up  Area,18-Dec,Whitefield,3 BHK,Prtates,2134,4.0,2.0,155.47340249383987
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1703,3.0,3.0,120.52826017732976
Super built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,Srshq T,1190,2.0,1.0,75.83732263130088
Plot  Area,17-Dec,Hennur Road,3 Bedroom,,700,3.0,1.0,100.78599959245659
Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,Prldsri,929,2.0,2.0,64.45133256043661
Super built-up  Area,18-May,Bommasandra,2 BHK,SSestth,955,2.0,1.0,66.60245663389496
Plot  Area,Ready To Move,Koramangala,5 Bedroom,,2400,4.0,2.0,203.16382808057517
Plot  Area,19-Dec,Tumkur Road,4 Bedroom,,1200,4.0,2.0,146.09546642939557
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,PuandHi,1843,3.0,2.0,127.15927669208288
Super built-up  Area,22-Jun,Hoodi,2 BHK,GoAirej,1250,2.0,2.0,77.06576653987194
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,DLhtsnd,1893,4.0,3.0,144.87335846530803
Super built-up  Area,Ready To Move,Begur Road,2 BHK,,1240,2.0,2.0,76.67279351870573
Super built-up  Area,Ready To Move,Anandapura,2 BHK,,1151,2.0,1.0,74.30472784875266
Super built-up  Area,Ready To Move,Horamavu Banaswadi,3 BHK,,1560,3.0,2.0,116.03814019307914
Plot  Area,Ready To Move,Anjanapura,5 Bedroom,,600,3.0,2.0,115.55007338483715
Built-up  Area,Ready To Move,Begur Road,2 BHK,,1050,2.0,2.0,73.1410643151757
Super built-up  Area,19-Dec,Hoodi,2 BHK,Caycend,1063,2.0,2.0,69.71717104406382
Super built-up  Area,Ready To Move,Binny Pete,3 BHK,Shestlo,2465,5.0,2.0,185.3594203802617
Plot  Area,Ready To Move,TC Palaya,2 Bedroom,,900,2.0,0.0,82.98464423715228
Super built-up  Area,Ready To Move,Hennur,2 BHK,Shateor,1255,2.0,1.0,78.39164726888124
Built-up  Area,Ready To Move,Jalahalli,3 BHK,Tahtsla,2091,3.0,2.0,140.83976581563283
Super built-up  Area,19-Dec,Kanakapura,3 BHK,GoityEt,1477,2.0,1.0,97.02724745000552
Super built-up  Area,Ready To Move,Varthur,3 BHK,,2145,3.0,2.0,139.0270619313024
Super built-up  Area,18-Feb,Kadugodi,2 BHK,Alestrb,1314,2.0,3.0,78.45139965690949
Super built-up  Area,Ready To Move,Cox Town,4 BHK,DantsAp,1860,4.0,3.0,153.48814660669396
Super built-up  Area,Ready To Move,Choodasandra,2 BHK,Maidsr ,1095,2.0,2.0,70.9746847117957
Super built-up  Area,18-Aug,Old Madras Road,2 BHK,SheldGr,1225,2.0,1.0,77.21272820538262
Super built-up  Area,Ready To Move,Babusapalaya,3 BHK,,1400,3.0,2.0,109.7505718544198
Plot  Area,Ready To Move,Malleshwaram,4 Bedroom,,2400,3.0,2.0,177.16146380733403
Plot  Area,Ready To Move,Kanakpura Road,3 Bedroom,ColeyNa,1200,3.0,1.0,120.43465065076707
Built-up  Area,Ready To Move,Garudachar Palya,2 BHK,UnlisAc,1050,2.0,1.0,74.2704585336019
Plot  Area,Ready To Move,Naganathapura,2 Bedroom,,1200,2.0,0.0,94.77383487213856
Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,,1050,2.0,2.0,69.20630611654775
Super built-up  Area,18-Jun,Bommasandra,3 BHK,SSestth,1295,2.0,1.0,89.8751384647805
Plot  Area,18-Mar,Gattahalli,3 Bedroom,Miiewa ,2000,2.0,2.0,133.86448723981735
Super built-up  Area,20-Dec,Whitefield,3 BHK,Somns T,1386,3.0,2.0,109.2004096247871
Super built-up  Area,Ready To Move,Vittal Mallya Road,1 BHK,Gantspa,950,1.0,0.0,40.74515434468333
Super built-up  Area,18-Aug,Dasanapura,3 BHK,Tavenew,843,2.0,1.0,72.11275790806783
Super built-up  Area,Ready To Move,Bhoganhalli,4 BHK,Pride S,2439,4.0,3.0,176.2412845322175
Built-up  Area,Ready To Move,Gottigere,2 BHK,,1280,2.0,1.0,83.30883802042473
Super built-up  Area,Ready To Move,Shingapura,2 BHK,,1010,2.0,1.0,68.76380825030911
Super built-up  Area,Ready To Move,Uttarahalli,1 BHK,,793,1.0,1.0,33.44608369394766
Built-up  Area,Ready To Move,Brookefield,2 BHK,Bhiya N,1100,2.0,1.0,76.23532363943295
Super built-up  Area,Ready To Move,Brookefield,2 BHK,,1050,2.0,3.0,68.07691189812155
Super built-up  Area,Ready To Move,Sunkadakatte,7 BHK,,40,7.0,1.0,164.59647518246032
Built-up  Area,Ready To Move,Basavanapura,2 BHK,,1220,2.0,2.0,79.82160567500127
Super built-up  Area,17-Jun,Electronic City,1 BHK,Prarkun,630,1.0,1.0,26.93066591501372
Super built-up  Area,18-Dec,Raja rajeswarinagar 5th Stage,3 BHK,,1444,3.0,2.0,111.47965314755112
Super built-up  Area,Ready To Move,Harlur,3 BHK,SrEndPo,1710,3.0,2.0,121.93273551057229
Plot  Area,Ready To Move,Seegehalli,4 Bedroom,,800,3.0,1.0,114.62732891535312
Super built-up  Area,18-Dec,Hosur Road,3 BHK,PuendWe,1745,3.0,1.0,124.43753530308022
Built-up  Area,Ready To Move,Kammasandra,2 BHK,Prarkhi,870,2.0,0.0,68.32633837103633
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,,1250,2.0,3.0,85.84797143268017
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,NRowse ,1393,3.0,2.0,109.47549073960344
Super built-up  Area,Ready To Move,RMV Extension,2 BHK,S alsPe,1000,2.0,2.0,67.2414410107167
Built-up  Area,Ready To Move,"Sarjapur Road, ",2 BHK,,1371,2.0,1.0,86.88489251303723
Super built-up  Area,19-Dec,Whitefield,3 BHK,Goted U,2140,3.0,2.0,138.8305754207193
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,,1450,3.0,3.0,110.58604274182464
Super built-up  Area,Ready To Move,8th Phase JP Nagar,3 BHK,,1580,3.0,1.0,117.95348045383777
Super built-up  Area,Ready To Move,Billekahalli,2 BHK,Saaveri,1368,2.0,1.0,82.83224240805941
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Prarkun,1128,2.0,1.0,73.29093236614567
Super built-up  Area,18-Dec,Rachenahalli,2 BHK,Shileve,1171,2.0,2.0,73.96127967265889
Plot  Area,Ready To Move,Jigani,3 Bedroom,,1200,2.0,1.0,103.55603976494679
Plot  Area,Ready To Move,SIPCOT 1,2 Bedroom,,1500,2.0,0.0,106.56302550712485
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1564,3.0,1.0,117.32472361997183
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Aklia R,1345,2.0,1.0,91.84000357061154
Super built-up  Area,Ready To Move,Doddanakundi Industrial Area 2,3 BHK,,1512,2.0,2.0,97.27325880566106
Super built-up  Area,18-Dec,Electronic City Phase II,2 BHK,Assha A,775,2.0,2.0,58.399548034476986
Plot  Area,18-Apr,TC Palaya,3 Bedroom,,1200,2.0,0.0,104.68543398337299
Super built-up  Area,18-Apr,Electronic City,2 BHK,,1090,2.0,1.0,71.79763488571407
Super built-up  Area,Ready To Move,Sugama Layout,2 BHK,,800,2.0,1.0,60.51137480581871
Plot  Area,Ready To Move,Ejipura,8 Bedroom,,969,5.0,3.0,192.41340275278793
Super built-up  Area,18-Mar,Kothanur,2 BHK,,1095,2.0,2.0,70.9746847117957
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Daives ,1483,2.0,3.0,84.9826861806937
Super built-up  Area,21-Mar,Yelahanka,2 BHK,Goues A,1252,2.0,2.0,77.14436114410518
Plot  Area,Ready To Move,Palanahalli,4 Bedroom,RMaanSa,3375,2.0,1.0,198.9392709798318
Plot  Area,Ready To Move,Kasturi Nagar,6 Bedroom,,2400,6.0,3.0,245.70325474502397
Built-up  Area,Ready To Move,Iblur Village,4 BHK,Emine P,3650,4.0,0.0,231.153258249352
Built-up  Area,Ready To Move,Doddathoguru,2 BHK,Vayali ,900,2.0,1.0,68.37586321610877
Plot  Area,Ready To Move,ITPL,4 Bedroom,,2440,5.0,2.0,211.70273193982587
Super built-up  Area,17-Jul,Channasandra,2 BHK,,1010,2.0,2.0,67.63441403188291
Super built-up  Area,Ready To Move,Hulimavu,3 BHK,Grure S,1680,3.0,3.0,119.62442222864746
Plot  Area,Ready To Move,Giri Nagar,3 Bedroom,,2400,3.0,0.0,168.72080740913844
Super built-up  Area,Ready To Move,BSK STAGE 2,3 BHK,,1990,2.0,1.0,117.18676343583208
Super built-up  Area,Ready To Move,Reliaable Tranquil Layout,3 BHK,NSnexav,1523,3.0,2.0,114.58414001476417
Super built-up  Area,Ready To Move,Bhoganhalli,4 BHK,Pride S,2439,4.0,3.0,176.2412845322175
Plot  Area,Ready To Move,EPIP Zone,3 Bedroom,,4930,4.0,1.0,283.89219843158355
Plot  Area,Ready To Move,ITI Employees Layout,5 Bedroom,,1200,5.0,3.0,171.7562822080241
Super built-up  Area,18-Aug,Whitefield,2 BHK,SSdhimr,1195,2.0,2.0,74.90441492345778
Super built-up  Area,Ready To Move,B Narayanapura,2 BHK,Neisear,1050,2.0,2.0,69.20630611654775
Built-up  Area,Ready To Move,Electronic City,2 BHK,,550,1.0,1.0,37.633239055546426
Built-up  Area,Ready To Move,Devanahalli,1 BHK,Cerdsga,540,1.0,1.0,27.438624457070503
Plot  Area,Ready To Move,Ramamurthy Nagar,5 Bedroom,,1200,4.0,3.0,154.8776713222038
Super built-up  Area,Ready To Move,Hebbal,2 BHK,Prersis,1294,2.0,1.0,79.92424205142946
Built-up  Area,Ready To Move,Chandapura,3 BHK,Riiew L,1345,3.0,2.0,111.5239784366336
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,,1100,2.0,1.0,72.300565440805
Plot  Area,Ready To Move,Hoodi,3 Bedroom,,1500,3.0,3.0,129.96505284890097
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,Paune F,1560,3.0,2.0,116.03814019307914
Plot  Area,Ready To Move,Bannerghatta Road,5 Bedroom,,780,6.0,3.0,172.13002620486355
Built-up  Area,Ready To Move,Thanisandra,3 BHK,,1565,2.0,2.0,103.29077401646992
Super built-up  Area,15-Oct,Thippasandra main,3 BHK,,1790,3.0,,127.33530811675436
Plot  Area,Immediate Possession,Chikkaballapur,,PrandHo,1200 - 2000,,,76.73553394714638
Super built-up  Area,19-Sep,Kanakpura Road,3 BHK,Soazak ,1594.98,3.0,1.0,118.54215403954476
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,RAncyeg,1055,2.0,1.0,70.53218684555705
Super built-up  Area,18-Dec,Electronics City Phase 1,2 BHK,,1060,2.0,1.0,70.72867335614016
Super built-up  Area,Ready To Move,Bisuvanahalli,2 BHK,Prityel,845,2.0,1.0,62.27975340106665
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,Brway G,1640,3.0,3.0,119.82114284426441
Plot  Area,Ready To Move,Muthyala Nagar,4 Bedroom,,1350,4.0,2.0,151.99006174688873
Super built-up  Area,18-Dec,Whitefield,3 BHK,Prtates,2280,4.0,2.0,161.21080860286654
Carpet  Area,Ready To Move,Pulkeshi Nagar,2 BHK,ElaleSp,1250,2.0,3.0,82.66544943433377
Built-up  Area,Ready To Move,Hegde Nagar,2 BHK,Dhniaad,1016,2.0,1.0,72.9343502616368
Plot  Area,Ready To Move,Jinkethimmanahalli,5 Bedroom,,1230,5.0,1.0,175.1939897083751
Built-up  Area,Ready To Move,TPV Layout,3 BHK,Crior E,1480,3.0,0.0,119.08790265922983
Super built-up  Area,Ready To Move,Kundalahalli,2 BHK,Dieldli,736,1.0,0.0,42.24713080296087
Plot  Area,Ready To Move,Esther Enclave Layout,1 Bedroom,,1200,1.0,1.0,66.85423065665765
Plot  Area,17-Jan,Whitefield,4 Bedroom,Ieuseut,1400,4.0,2.0,153.95492685271978
Built-up  Area,Ready To Move,Whitefield,3 BHK,Pae 1ov,1500,2.0,1.0,101.86584359731576
Built-up  Area,Ready To Move,Kumaraswami Layout,3 Bedroom,,1000,3.0,1.0,99.09580342482556
Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,HMwerCo,1717,3.0,3.0,121.07842240696245
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,Bhmesy ,1056,2.0,2.0,69.44208992924749
Plot  Area,Ready To Move,TC Palaya,3 Bedroom,,1200,2.0,0.0,104.68543398337299
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Maoma P,1200,2.0,2.0,75.10090143404089
Super built-up  Area,Ready To Move,Horamavu Agara,2 BHK,Suise S,1130,2.0,1.0,73.47948450430363
Super built-up  Area,Ready To Move,New Thippasandra,3 BHK,,1575,2.0,2.0,99.74898883900818
Super built-up  Area,19-Jun,Yelahanka,3 BHK,Vaaram ,1892 - 2798,3.0,0.0,149.145310791479
Super built-up  Area,Ready To Move,Mico Layout,3 BHK,Amsomun,1685,3.0,2.0,120.95030295765677
Super built-up  Area,Ready To Move,Kanaka Nagar,2 BHK,,1000,2.0,3.0,66.11204679229051
Super built-up  Area,Ready To Move,Billekahalli,2 BHK,,1100,2.0,2.0,71.1711712223788
Plot  Area,Ready To Move,Bellandur,3 Bedroom,Vaodssh,2400,3.0,2.0,166.46201897228605
Super built-up  Area,18-Dec,Sarjapur  Road,2 BHK,PualeSk,1346,2.0,1.0,81.96770176149374
Super built-up  Area,19-Dec,Whitefield,1 BHK,Oreldhi,524 - 894,1.0,0.0,31.274504534577673
Super built-up  Area,Ready To Move,Benson Town,4 BHK,DFityin,2938,6.0,2.0,230.73725427847813
Super built-up  Area,21-May,Dairy Circle,3 BHK,Soeurri,1908,3.0,2.0,129.71360132966325
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,SaireSa,1832,3.0,1.0,127.85640058722625
Built-up  Area,Ready To Move,Banashankari Stage VI,4 BHK,,3150,4.0,0.0,211.50460719104154
Super built-up  Area,Ready To Move,"JP nagar 9th phase , ",3 BHK,,1846,3.0,2.0,127.27716859843275
Built-up  Area,Ready To Move,Hormavu,5 Bedroom,,2000,4.0,2.0,173.96552043130944
Super built-up  Area,18-Mar,BTM Layout,2 BHK,Sudeslv,920,2.0,1.0,65.22705105981322
Super built-up  Area,Ready To Move,Kodichikkanahalli,2 BHK,Jae 1ke,700,2.0,2.0,55.45225037573041
Super built-up  Area,Ready To Move,Hoodi Layout,3 BHK,SVstos ,1610,3.0,2.0,118.0030052989102
Plot  Area,18-Mar,Lingarajapuram,4 Bedroom,,1200,3.0,1.0,130.3462497620015
Plot  Area,Ready To Move,Whitefield,5 Bedroom,Ske 2ad,3927,5.0,3.0,278.92002508004947
Super built-up  Area,18-Apr,Jalahalli,3 BHK,DSata S,1222,2.0,2.0,85.87704119184097
Super built-up  Area,Ready To Move,Gottigere,2 BHK,DSghtra,900,2.0,1.0,64.44110501748081
Super built-up  Area,22-May,Jakkur,3 BHK,SoineC ,1819.18,3.0,2.0,126.22321495566497
Built-up  Area,Ready To Move,Ramamurthy Nagar,4 Bedroom,,1200,2.0,1.0,99.9882520735639
Plot  Area,Ready To Move,Vidyaranyapura,2 Bedroom,,1080,2.0,0.0,90.05815861814405
Super built-up  Area,Ready To Move,Kogilu,2 BHK,,1170,2.0,2.0,73.92198237054225
Super built-up  Area,Ready To Move,Nagarbhavi,3 BHK,DSesthr,1530,2.0,2.0,97.98061024376024
Plot  Area,Ready To Move,Vivek Nagar,4 Bedroom,,2025,3.0,0.0,163.89591822664
Super built-up  Area,Ready To Move,Electronic City,3 BHK,BrnoxEq,1700,3.0,2.0,121.42980495548137
Super built-up  Area,Ready To Move,Koramangala,2 BHK,Ariew J,900,2.0,2.0,63.31171079905461
Super built-up  Area,Ready To Move,Bannerghatta,2 BHK,,650,1.0,2.0,36.608774384079084
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1207,2.0,2.0,75.37598254885724
Super built-up  Area,18-May,Banashankari Stage III,3 BHK,Pridsi ,1305,2.0,1.0,90.26811148594672
Super built-up  Area,Ready To Move,Old Madras Road,3 BHK,Saciatt,2425,3.0,2.0,150.03030652395628
Super built-up  Area,19-Dec,Hoodi,3 BHK,Caycend,1724,3.0,2.0,122.48289774020499
Plot  Area,Ready To Move,Abbigere,4 Bedroom,,1200,4.0,,148.35425486624797
Super built-up  Area,18-Dec,Raja Rajeshwari Nagar,1 BHK,Prllsan,648,1.0,0.0,28.8773691054638
Super built-up  Area,18-Oct,Kathriguppe,2 BHK,,1115,2.0,2.0,71.7606307541281
Plot  Area,Ready To Move,Mahalakshmi Layout,4 Bedroom,,3750,4.0,2.0,246.30358682677905
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,Valdsic,2600,3.0,,159.16612283121734
Built-up  Area,Ready To Move,"Sarjapur Road, ",3 BHK,,1561,3.0,2.0,120.01219569382373
Built-up  Area,Ready To Move,Volagerekallahalli,2 BHK,PSterAs,1050,2.0,0.0,75.3998527520281
Plot  Area,Ready To Move,R.T. Nagar,7 Bedroom,,2400,8.0,,292.76025828317756
Super built-up  Area,18-Sep,HBR Layout,1 BHK,SLvasNi,534 - 763,1.0,0.0,28.897017756522118
Super built-up  Area,Ready To Move,Doddabommasandra,2 BHK,MaaveEn,1150,2.0,2.0,73.13603632820985
Super built-up  Area,Ready To Move,Chikkasanne,3 BHK,Hieryni,1550,3.0,1.0,116.77456139033914
Super built-up  Area,Ready To Move,Ananth Nagar,2 BHK,Patri M,937,2.0,1.0,65.89510519579578
Plot  Area,Ready To Move,Malleshwaram,4 Bedroom,,2340,3.0,2.0,174.80362568033678
Plot  Area,Ready To Move,Electronic City,2 Bedroom,,2100,2.0,2.0,127.77266080632032
Built-up  Area,Ready To Move,Herohalli,1 Bedroom,,600,1.0,0.0,30.925856802493954
Built-up  Area,Ready To Move,Harlur,5 Bedroom,Shodsir,3600,5.0,3.0,252.5904204852971
Super built-up  Area,Ready To Move,Ashwathnagar,3 BHK,Puinaia,1935,2.0,1.0,115.02541181941791
Super built-up  Area,18-May,Haralur Road,4 BHK,SNnia E,3210,6.0,,243.6849088910514
Super built-up  Area,18-Mar,Electronic City,2 BHK,Prarkun,1108,2.0,1.0,72.50498632381326
Super built-up  Area,Ready To Move,Malleshwaram,2 BHK,Kaamai ,985,1.0,2.0,50.561216316960696
Super built-up  Area,Ready To Move,Gottigere,3 BHK,KSicaxo,1500,3.0,2.0,113.6803020660819
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1185,2.0,2.0,74.51144190229158
Super built-up  Area,20-Dec,Varthur,3 BHK,Myple M,1545,3.0,2.0,115.44868066132983
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,,1490,2.0,2.0,96.4087181590954
Super built-up  Area,Ready To Move,Sonnenahalli,2 BHK,Skacak ,1268,2.0,1.0,78.90251219639731
Plot  Area,Ready To Move,Vijaya Bank Layout,5 Bedroom,,2400,5.0,1.0,221.17183318482165
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,DLhtsnd,1410,2.0,2.0,93.26493398976572
Super built-up  Area,18-Aug,1st Phase JP Nagar,2 BHK,,1080,2.0,2.0,70.38522518004638
Super built-up  Area,Ready To Move,Chokkanahalli,3 BHK,DSineSu,1350,2.0,2.0,90.90709586276846
Built-up  Area,Ready To Move,Bellandur,2 BHK,Kritel ,1300,2.0,1.0,84.09478406275714
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Cooutid,1800,2.0,3.0,107.4614875968217
Super built-up  Area,18-Feb,Uttarahalli,2 BHK,DSera S,1068,2.0,1.0,71.04305177307313
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,,1170,2.0,2.0,83.83358148177669
Built-up  Area,Ready To Move,Neeladri Nagar,2 BHK,OmentCl,1200,2.0,3.0,77.90626541424265
Plot  Area,Ready To Move,Thyagaraja Nagar,4 Bedroom,,800,3.0,2.0,113.49793469692692
Super built-up  Area,Ready To Move,Arekere,3 BHK,,1809,2.0,3.0,107.81516331587129
Super built-up  Area,18-Apr,Electronic City,3 BHK,Prarkun,1615,3.0,2.0,118.08953427556858
Built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,DLhtsnd,1662,3.0,2.0,123.98122320760244
Super built-up  Area,18-Jun,Kogilu,3 BHK,Leora E,2215,5.0,1.0,176.66448906953264
Super built-up  Area,Ready To Move,Dodda Nekkundi,3 BHK,,1999,3.0,2.0,133.28965582227576
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,,1150,2.0,,75.39482476506225
Plot  Area,19-Dec,Kasavanhalli,4 Bedroom,,4395,4.0,2.0,271.6503466919996
Super built-up  Area,Ready To Move,Babusapalaya,3 BHK,,1611,2.0,2.0,101.16369171520654
Built-up  Area,Ready To Move,Samethanahalli,2 BHK,SPontna,1160,2.0,2.0,77.463767548004
Super built-up  Area,18-Apr,Attibele,2 BHK,,1150,2.0,2.0,73.13603632820985
Super built-up  Area,Ready To Move,Banashankari Stage III,3 BHK,Pridsi ,1260,2.0,1.0,88.49973289069877
Super built-up  Area,Ready To Move,Whitefield,3 BHK,TZllaes,2750,3.0,3.0,161.6725354934319
Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,2 BHK,,1196,2.0,1.0,76.07310644400062
Super built-up  Area,22-May,Jakkur,3 BHK,SoineC ,1819.18,3.0,2.0,126.22321495566497
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,IBityin,2555,3.0,2.0,155.138955799117
Super built-up  Area,Ready To Move,Channasandra Layout,3 BHK,Aconyit,1535,2.0,2.0,98.17709675434334
Super built-up  Area,Ready To Move,Kundalahalli,2 BHK,Vangsld,1299,2.0,1.0,80.12072856201257
Super built-up  Area,Ready To Move,Hoodi,2 BHK,Keers S,1257,2.0,1.0,78.47024187311449
Super built-up  Area,21-Dec,Whitefield,3 BHK,SudenEd,1498 - 1523,3.0,0.0,116.35171217515881
Super built-up  Area,19-Dec,"J.P.Nagar 6th Phase , sarakki nagar",3 BHK,,1750,3.0,2.0,123.50462759523712
Super built-up  Area,21-Dec,Thanisandra,2 BHK,Bhe 2ko,1183,2.0,1.0,75.56224151648453
Super built-up  Area,18-Mar,Raja Rajashware nagar,3 BHK,,1400,2.0,1.0,94.00135518702571
Super built-up  Area,Ready To Move,Malleshpalya,3 BHK,,1950,3.0,3.0,130.23469380013512
