area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up  Area,Ready To Move,Dasarahalli,3 BHK,Sooneoo,1902.55,3.0,2.0,108.2880859375
Carpet  Area,Ready To Move,JP Nagar,2 BHK,BSensth,1150,2.0,1.0,80.03125
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Contsci,1430,2.0,2.0,81.755859375
Plot  Area,Ready To Move,Kammagondahalli,1 Bedroom,,1215,2.0,0.0,92.0810546875
Built-up  Area,Ready To Move,Jalahalli,4 BHK,Tahtsla,3083,4.0,2.0,198.81640625
Built-up  Area,18-Dec,Electronic City,2 BHK,,1025,2.0,1.0,46.29296875
Plot  Area,Ready To Move,Marathahalli,2 Bedroom,,1353,2.0,0.0,145.205078125
Plot  Area,Ready To Move,Whitefield,5 Bedroom,,6369,4.0,,438.2412109375
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Niborik,1085,2.0,1.0,68.5068359375
Plot  Area,Ready To Move,4th Block Koramangala,2 Bedroom,,1200,2.0,1.0,286.50390625
Super built-up  Area,19-Dec,Hoodi,2 BHK,Caycend,1289,2.0,2.0,61.3974609375
Plot  Area,Ready To Move,Horamavu Agara,5 Bedroom,,1200,4.0,1.0,155.0283203125
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,,2300,3.0,3.0,138.7060546875
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Klark L,1691 - 2170,3.0,0.0,132.408203125
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,NiarkHy,1021,2.0,2.0,51.7568359375
Super built-up  Area,Ready To Move,Frazer Town,3 BHK,Asareur,1750,3.0,3.0,204.2880859375
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Prlla C,1404,2.0,2.0,64.4833984375
Super built-up  Area,Ready To Move,KR Puram,2 BHK,,1060,2.0,1.0,35.0712890625
Super built-up  Area,Ready To Move,"C P Cassia Apartment,",2 BHK,,1029,1.0,2.0,83791464038.3291
Built-up  Area,Ready To Move,Neeladri Nagar,2 BHK,,850,2.0,3.0,19.525390625
Built-up  Area,19-Oct,Whitefield,4 Bedroom,,3565,4.0,1.0,231.2431640625
Super built-up  Area,18-Dec,Whitefield,3 BHK,Prtates,2134,4.0,2.0,161.2998046875
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1703,3.0,3.0,99.556640625
Super built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,Srshq T,1190,2.0,1.0,66.2626953125
Plot  Area,17-Dec,Hennur Road,3 Bedroom,,700,3.0,1.0,137.8046875
Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,Prldsri,929,2.0,2.0,43.5595703125
Super built-up  Area,18-May,Bommasandra,2 BHK,SSestth,955,2.0,1.0,28.88671875
Plot  Area,Ready To Move,Koramangala,5 Bedroom,,2400,4.0,2.0,320.6318359375
Plot  Area,19-Dec,Tumkur Road,4 Bedroom,,1200,4.0,2.0,173.99609375
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,PuandHi,1843,3.0,2.0,106.7431640625
Super built-up  Area,22-Jun,Hoodi,2 BHK,GoAirej,1250,2.0,2.0,59.515625
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,DLhtsnd,1893,4.0,3.0,126.1787109375
Super built-up  Area,Ready To Move,Begur Road,2 BHK,,1240,2.0,2.0,40.0380859375
Super built-up  Area,Ready To Move,Anandapura,2 BHK,,1151,2.0,1.0,16.2421875
Super built-up  Area,Ready To Move,Horamavu Banaswadi,3 BHK,,1560,3.0,2.0,75.9501953125
Plot  Area,Ready To Move,Anjanapura,5 Bedroom,,600,3.0,2.0,92.033203125
Built-up  Area,Ready To Move,Begur Road,2 BHK,,1050,2.0,2.0,31.0830078125
Super built-up  Area,19-Dec,Hoodi,2 BHK,Caycend,1063,2.0,2.0,50.4921875
Super built-up  Area,Ready To Move,Binny Pete,3 BHK,Shestlo,2465,5.0,2.0,234.712890625
Plot  Area,Ready To Move,TC Palaya,2 Bedroom,,900,2.0,0.0,68.06640625
Super built-up  Area,Ready To Move,Hennur,2 BHK,Shateor,1255,2.0,1.0,59.9423828125
Built-up  Area,Ready To Move,Jalahalli,3 BHK,Tahtsla,2091,3.0,2.0,129.521484375
Super built-up  Area,19-Dec,Kanakapura,3 BHK,GoityEt,1477,2.0,1.0,65.439453125
Super built-up  Area,Ready To Move,Varthur,3 BHK,,2145,3.0,2.0,113.2197265625
Super built-up  Area,18-Feb,Kadugodi,2 BHK,Alestrb,1314,2.0,3.0,45.41015625
Super built-up  Area,Ready To Move,Cox Town,4 BHK,DantsAp,1860,4.0,3.0,187.26171875
Super built-up  Area,Ready To Move,Choodasandra,2 BHK,Maidsr ,1095,2.0,2.0,60.21875
Super built-up  Area,18-Aug,Old Madras Road,2 BHK,SheldGr,1225,2.0,1.0,54.8662109375
Super built-up  Area,Ready To Move,Babusapalaya,3 BHK,,1400,3.0,2.0,71.9462890625
Plot  Area,Ready To Move,Malleshwaram,4 Bedroom,,2400,3.0,2.0,420.083984375
Plot  Area,Ready To Move,Kanakpura Road,3 Bedroom,ColeyNa,1200,3.0,1.0,149.482421875
Built-up  Area,Ready To Move,Garudachar Palya,2 BHK,UnlisAc,1050,2.0,1.0,62.3876953125
Plot  Area,Ready To Move,Naganathapura,2 Bedroom,,1200,2.0,0.0,92.8271484375
Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,,1050,2.0,2.0,50.5908203125
Super built-up  Area,18-Jun,Bommasandra,3 BHK,SSestth,1295,2.0,1.0,43.435546875
Plot  Area,18-Mar,Gattahalli,3 Bedroom,Miiewa ,2000,2.0,2.0,140.9130859375
Super built-up  Area,20-Dec,Whitefield,3 BHK,Somns T,1386,3.0,2.0,101.921875
Super built-up  Area,Ready To Move,Vittal Mallya Road,1 BHK,Gantspa,950,1.0,0.0,279.6376953125
Super built-up  Area,18-Aug,Dasanapura,3 BHK,Tavenew,843,2.0,1.0,33.5546875
Super built-up  Area,Ready To Move,Bhoganhalli,4 BHK,Pride S,2439,4.0,3.0,158.2763671875
Built-up  Area,Ready To Move,Gottigere,2 BHK,,1280,2.0,1.0,44.849609375
Super built-up  Area,Ready To Move,Shingapura,2 BHK,,1010,2.0,1.0,1.28515625
Super built-up  Area,Ready To Move,Uttarahalli,1 BHK,,793,1.0,1.0,8.6142578125
Built-up  Area,Ready To Move,Brookefield,2 BHK,Bhiya N,1100,2.0,1.0,60.68359375
Super built-up  Area,Ready To Move,Brookefield,2 BHK,,1050,2.0,3.0,52.984375
Super built-up  Area,Ready To Move,Sunkadakatte,7 BHK,,40,7.0,1.0,25.16015625
Built-up  Area,Ready To Move,Basavanapura,2 BHK,,1220,2.0,2.0,25.6376953125
Super built-up  Area,17-Jun,Electronic City,1 BHK,Prarkun,630,1.0,1.0,5.591796875
Super built-up  Area,18-Dec,Raja rajeswarinagar 5th Stage,3 BHK,,1444,3.0,2.0,403758165026.3086
Super built-up  Area,Ready To Move,Harlur,3 BHK,SrEndPo,1710,3.0,2.0,117.6875
Plot  Area,Ready To Move,Seegehalli,4 Bedroom,,800,3.0,1.0,125.2080078125
Super built-up  Area,18-Dec,Hosur Road,3 BHK,PuendWe,1745,3.0,1.0,110.2587890625
Built-up  Area,Ready To Move,Kammasandra,2 BHK,Prarkhi,870,2.0,0.0,21.4189453125
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,,1250,2.0,3.0,45.162109375
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,NRowse ,1393,3.0,2.0,89.009765625
Super built-up  Area,Ready To Move,RMV Extension,2 BHK,S alsPe,1000,2.0,2.0,46.7412109375
Built-up  Area,Ready To Move,"Sarjapur Road, ",2 BHK,,1371,2.0,1.0,90.9228515625
Super built-up  Area,19-Dec,Whitefield,3 BHK,Goted U,2140,3.0,2.0,138.3046875
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,,1450,3.0,3.0,85.2421875
Super built-up  Area,Ready To Move,8th Phase JP Nagar,3 BHK,,1580,3.0,1.0,91.951171875
Super built-up  Area,Ready To Move,Billekahalli,2 BHK,Saaveri,1368,2.0,1.0,73.291015625
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Prarkun,1128,2.0,1.0,51.0498046875
Super built-up  Area,18-Dec,Rachenahalli,2 BHK,Shileve,1171,2.0,2.0,56.4296875
Plot  Area,Ready To Move,Jigani,3 Bedroom,,1200,2.0,1.0,110.3759765625
Plot  Area,Ready To Move,SIPCOT 1,2 Bedroom,,1500,2.0,0.0,403758164968.73047
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1564,3.0,1.0,97.923828125
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Aklia R,1345,2.0,1.0,54.8203125
Super built-up  Area,Ready To Move,Doddanakundi Industrial Area 2,3 BHK,,1512,2.0,2.0,69.0205078125
Super built-up  Area,18-Dec,Electronic City Phase II,2 BHK,Assha A,775,2.0,2.0,21.9736328125
Plot  Area,18-Apr,TC Palaya,3 Bedroom,,1200,2.0,0.0,80.685546875
Super built-up  Area,18-Apr,Electronic City,2 BHK,,1090,2.0,1.0,49.2158203125
Super built-up  Area,Ready To Move,Sugama Layout,2 BHK,,800,2.0,1.0,37.1064453125
Plot  Area,Ready To Move,Ejipura,8 Bedroom,,969,5.0,3.0,164.05859375
Super built-up  Area,18-Mar,Kothanur,2 BHK,,1095,2.0,2.0,36.619140625
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Daives ,1483,2.0,3.0,63.10546875
Super built-up  Area,21-Mar,Yelahanka,2 BHK,Goues A,1252,2.0,2.0,44.0419921875
Plot  Area,Ready To Move,Palanahalli,4 Bedroom,RMaanSa,3375,2.0,1.0,439.4716796875
Plot  Area,Ready To Move,Kasturi Nagar,6 Bedroom,,2400,6.0,3.0,298.9169921875
Built-up  Area,Ready To Move,Iblur Village,4 BHK,Emine P,3650,4.0,0.0,256.48828125
Built-up  Area,Ready To Move,Doddathoguru,2 BHK,Vayali ,900,2.0,1.0,33.4677734375
Plot  Area,Ready To Move,ITPL,4 Bedroom,,2440,5.0,2.0,205.044921875
Super built-up  Area,17-Jul,Channasandra,2 BHK,,1010,2.0,2.0,18.3916015625
Super built-up  Area,Ready To Move,Hulimavu,3 BHK,Grure S,1680,3.0,3.0,102.4462890625
Plot  Area,Ready To Move,Giri Nagar,3 Bedroom,,2400,3.0,0.0,312.4921875
Super built-up  Area,Ready To Move,BSK STAGE 2,3 BHK,,1990,2.0,1.0,1677110759444.4297
Super built-up  Area,Ready To Move,Reliaable Tranquil Layout,3 BHK,NSnexav,1523,3.0,2.0,84.4541015625
Super built-up  Area,Ready To Move,Bhoganhalli,4 BHK,Pride S,2439,4.0,3.0,158.2763671875
Plot  Area,Ready To Move,EPIP Zone,3 Bedroom,,4930,4.0,1.0,366.453125
Plot  Area,Ready To Move,ITI Employees Layout,5 Bedroom,,1200,5.0,3.0,317.36328125
Super built-up  Area,18-Aug,Whitefield,2 BHK,SSdhimr,1195,2.0,2.0,71.27734375
Super built-up  Area,Ready To Move,B Narayanapura,2 BHK,Neisear,1050,2.0,2.0,45.04296875
Built-up  Area,Ready To Move,Electronic City,2 BHK,,550,1.0,1.0,0.0869140625
Built-up  Area,Ready To Move,Devanahalli,1 BHK,Cerdsga,540,1.0,1.0,16.431640625
Plot  Area,Ready To Move,Ramamurthy Nagar,5 Bedroom,,1200,4.0,3.0,141.6845703125
Super built-up  Area,Ready To Move,Hebbal,2 BHK,Prersis,1294,2.0,1.0,104.103515625
Built-up  Area,Ready To Move,Chandapura,3 BHK,Riiew L,1345,3.0,2.0,64.8095703125
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,,1100,2.0,1.0,66.720703125
Plot  Area,Ready To Move,Hoodi,3 Bedroom,,1500,3.0,3.0,161.69921875
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,Paune F,1560,3.0,2.0,100.318359375
Plot  Area,Ready To Move,Bannerghatta Road,5 Bedroom,,780,6.0,3.0,200.7880859375
Built-up  Area,Ready To Move,Thanisandra,3 BHK,,1565,2.0,2.0,72.36328125
Super built-up  Area,15-Oct,Thippasandra main,3 BHK,,1790,3.0,,403758165004.53906
Plot  Area,Immediate Possession,Chikkaballapur,,PrandHo,1200 - 2000,,,44.1298828125
Super built-up  Area,19-Sep,Kanakpura Road,3 BHK,Soazak ,1594.98,3.0,1.0,97.3125
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,RAncyeg,1055,2.0,1.0,37.5380859375
Super built-up  Area,18-Dec,Electronics City Phase 1,2 BHK,,1060,2.0,1.0,48.2587890625
Super built-up  Area,Ready To Move,Bisuvanahalli,2 BHK,Prityel,845,2.0,1.0,35.046875
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,Brway G,1640,3.0,3.0,277.787109375
Plot  Area,Ready To Move,Muthyala Nagar,4 Bedroom,,1350,4.0,2.0,171.8720703125
Super built-up  Area,18-Dec,Whitefield,3 BHK,Prtates,2280,4.0,2.0,168.345703125
Carpet  Area,Ready To Move,Pulkeshi Nagar,2 BHK,ElaleSp,1250,2.0,3.0,91.294921875
Built-up  Area,Ready To Move,Hegde Nagar,2 BHK,Dhniaad,1016,2.0,1.0,56.6708984375
Plot  Area,Ready To Move,Jinkethimmanahalli,5 Bedroom,,1230,5.0,1.0,155.302734375
Built-up  Area,Ready To Move,TPV Layout,3 BHK,Crior E,1480,3.0,0.0,403758165019.2842
Super built-up  Area,Ready To Move,Kundalahalli,2 BHK,Dieldli,736,1.0,0.0,47.7578125
Plot  Area,Ready To Move,Esther Enclave Layout,1 Bedroom,,1200,1.0,1.0,44.1044921875
Plot  Area,17-Jan,Whitefield,4 Bedroom,Ieuseut,1400,4.0,2.0,195.2548828125
Built-up  Area,Ready To Move,Whitefield,3 BHK,Pae 1ov,1500,2.0,1.0,86.8876953125
Built-up  Area,Ready To Move,Kumaraswami Layout,3 Bedroom,,1000,3.0,1.0,57.7978515625
Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,HMwerCo,1717,3.0,3.0,116.1015625
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,Bhmesy ,1056,2.0,2.0,49.4462890625
Plot  Area,Ready To Move,TC Palaya,3 Bedroom,,1200,2.0,0.0,80.685546875
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Maoma P,1200,2.0,2.0,71.51953125
Super built-up  Area,Ready To Move,Horamavu Agara,2 BHK,Suise S,1130,2.0,1.0,39.4228515625
Super built-up  Area,Ready To Move,New Thippasandra,3 BHK,,1575,2.0,2.0,104.201171875
Super built-up  Area,19-Jun,Yelahanka,3 BHK,Vaaram ,1892 - 2798,3.0,0.0,123.2841796875
Super built-up  Area,Ready To Move,Mico Layout,3 BHK,Amsomun,1685,3.0,2.0,83.8876953125
Super built-up  Area,Ready To Move,Kanaka Nagar,2 BHK,,1000,2.0,3.0,31.1005859375
Super built-up  Area,Ready To Move,Billekahalli,2 BHK,,1100,2.0,2.0,57.8212890625
Plot  Area,Ready To Move,Bellandur,3 Bedroom,Vaodssh,2400,3.0,2.0,213.3115234375
Super built-up  Area,18-Dec,Sarjapur  Road,2 BHK,PualeSk,1346,2.0,1.0,80.240234375
Super built-up  Area,19-Dec,Whitefield,1 BHK,Oreldhi,524 - 894,1.0,0.0,31.4736328125
Super built-up  Area,Ready To Move,Benson Town,4 BHK,DFityin,2938,6.0,2.0,405.775390625
Super built-up  Area,21-May,Dairy Circle,3 BHK,Soeurri,1908,3.0,2.0,263.4814453125
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,SaireSa,1832,3.0,1.0,121.197265625
Built-up  Area,Ready To Move,Banashankari Stage VI,4 BHK,,3150,4.0,0.0,160.7666015625
Super built-up  Area,Ready To Move,"JP nagar 9th phase , ",3 BHK,,1846,3.0,2.0,403758165006.91113
Built-up  Area,Ready To Move,Hormavu,5 Bedroom,,2000,4.0,2.0,126.4931640625
Super built-up  Area,18-Mar,BTM Layout,2 BHK,Sudeslv,920,2.0,1.0,55.923828125
Super built-up  Area,Ready To Move,Kodichikkanahalli,2 BHK,Jae 1ke,700,2.0,2.0,18.8720703125
Super built-up  Area,Ready To Move,Hoodi Layout,3 BHK,SVstos ,1610,3.0,2.0,105.48828125
Plot  Area,18-Mar,Lingarajapuram,4 Bedroom,,1200,3.0,1.0,114.79296875
Plot  Area,Ready To Move,Whitefield,5 Bedroom,Ske 2ad,3927,5.0,3.0,336.0810546875
Super built-up  Area,18-Apr,Jalahalli,3 BHK,DSata S,1222,2.0,2.0,64.091796875
Super built-up  Area,Ready To Move,Gottigere,2 BHK,DSghtra,900,2.0,1.0,26.30078125
Super built-up  Area,22-May,Jakkur,3 BHK,SoineC ,1819.18,3.0,2.0,138.705078125
Built-up  Area,Ready To Move,Ramamurthy Nagar,4 Bedroom,,1200,2.0,1.0,31.029296875
Plot  Area,Ready To Move,Vidyaranyapura,2 Bedroom,,1080,2.0,0.0,91.00390625
Super built-up  Area,Ready To Move,Kogilu,2 BHK,,1170,2.0,2.0,49.216796875
Super built-up  Area,Ready To Move,Nagarbhavi,3 BHK,DSesthr,1530,2.0,2.0,89.7412109375
Plot  Area,Ready To Move,Vivek Nagar,4 Bedroom,,2025,3.0,0.0,174.28125
Super built-up  Area,Ready To Move,Electronic City,3 BHK,BrnoxEq,1700,3.0,2.0,97.541015625
Super built-up  Area,Ready To Move,Koramangala,2 BHK,Ariew J,900,2.0,2.0,136.0244140625
Super built-up  Area,Ready To Move,Bannerghatta,2 BHK,,650,1.0,2.0,12.7958984375
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1207,2.0,2.0,42.2451171875
Super built-up  Area,18-May,Banashankari Stage III,3 BHK,Pridsi ,1305,2.0,1.0,54.5634765625
Super built-up  Area,Ready To Move,Old Madras Road,3 BHK,Saciatt,2425,3.0,2.0,131.66015625
Super built-up  Area,19-Dec,Hoodi,3 BHK,Caycend,1724,3.0,2.0,103.8154296875
Plot  Area,Ready To Move,Abbigere,4 Bedroom,,1200,4.0,,143.599609375
Super built-up  Area,18-Dec,Raja Rajeshwari Nagar,1 BHK,Prllsan,648,1.0,0.0,1.0810546875
Super built-up  Area,18-Oct,Kathriguppe,2 BHK,,1115,2.0,2.0,58.0146484375
Plot  Area,Ready To Move,Mahalakshmi Layout,4 Bedroom,,3750,4.0,2.0,405.8544921875
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,Valdsic,2600,3.0,,155.5751953125
Built-up  Area,Ready To Move,"Sarjapur Road, ",3 BHK,,1561,3.0,2.0,118.9814453125
Built-up  Area,Ready To Move,Volagerekallahalli,2 BHK,PSterAs,1050,2.0,0.0,39.4169921875
Plot  Area,Ready To Move,R.T. Nagar,7 Bedroom,,2400,8.0,,334.7333984375
Super built-up  Area,18-Sep,HBR Layout,1 BHK,SLvasNi,534 - 763,1.0,0.0,30.533203125
Super built-up  Area,Ready To Move,Doddabommasandra,2 BHK,MaaveEn,1150,2.0,2.0,234.5244140625
Super built-up  Area,Ready To Move,Chikkasanne,3 BHK,Hieryni,1550,3.0,1.0,789187399441.1494
Super built-up  Area,Ready To Move,Ananth Nagar,2 BHK,Patri M,937,2.0,1.0,28.5888671875
Plot  Area,Ready To Move,Malleshwaram,4 Bedroom,,2340,3.0,2.0,417.1884765625
Plot  Area,Ready To Move,Electronic City,2 Bedroom,,2100,2.0,2.0,166.64453125
Built-up  Area,Ready To Move,Herohalli,1 Bedroom,,600,1.0,0.0,25.3037109375
Built-up  Area,Ready To Move,Harlur,5 Bedroom,Shodsir,3600,5.0,3.0,249.4169921875
Super built-up  Area,Ready To Move,Ashwathnagar,3 BHK,Puinaia,1935,2.0,1.0,152.1025390625
Super built-up  Area,18-May,Haralur Road,4 BHK,SNnia E,3210,6.0,,249.7578125
Super built-up  Area,18-Mar,Electronic City,2 BHK,Prarkun,1108,2.0,1.0,50.0849609375
Super built-up  Area,Ready To Move,Malleshwaram,2 BHK,Kaamai ,985,1.0,2.0,237.720703125
Super built-up  Area,Ready To Move,Gottigere,3 BHK,KSicaxo,1500,3.0,2.0,74.1435546875
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1185,2.0,2.0,41.18359375
Super built-up  Area,20-Dec,Varthur,3 BHK,Myple M,1545,3.0,2.0,84.267578125
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,,1490,2.0,2.0,59.2802734375
Super built-up  Area,Ready To Move,Sonnenahalli,2 BHK,Skacak ,1268,2.0,1.0,58.4462890625
Plot  Area,Ready To Move,Vijaya Bank Layout,5 Bedroom,,2400,5.0,1.0,297.7646484375
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,DLhtsnd,1410,2.0,2.0,58.83984375
Super built-up  Area,18-Aug,1st Phase JP Nagar,2 BHK,,1080,2.0,2.0,101.556640625
Super built-up  Area,Ready To Move,Chokkanahalli,3 BHK,DSineSu,1350,2.0,2.0,23.26953125
Built-up  Area,Ready To Move,Bellandur,2 BHK,Kritel ,1300,2.0,1.0,70.326171875
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Cooutid,1800,2.0,3.0,95.21484375
Super built-up  Area,18-Feb,Uttarahalli,2 BHK,DSera S,1068,2.0,1.0,43.3115234375
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,,1170,2.0,2.0,65.7041015625
Built-up  Area,Ready To Move,Neeladri Nagar,2 BHK,OmentCl,1200,2.0,3.0,36.4140625
Plot  Area,Ready To Move,Thyagaraja Nagar,4 Bedroom,,800,3.0,2.0,140.9130859375
Super built-up  Area,Ready To Move,Arekere,3 BHK,,1809,2.0,3.0,83.40625
Super built-up  Area,18-Apr,Electronic City,3 BHK,Prarkun,1615,3.0,2.0,93.439453125
Built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,DLhtsnd,1662,3.0,2.0,94.4970703125
Super built-up  Area,18-Jun,Kogilu,3 BHK,Leora E,2215,5.0,1.0,170.1767578125
Super built-up  Area,Ready To Move,Dodda Nekkundi,3 BHK,,1999,3.0,2.0,139.1533203125
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,,1150,2.0,,65.39453125
Plot  Area,19-Dec,Kasavanhalli,4 Bedroom,,4395,4.0,2.0,340.517578125
Super built-up  Area,Ready To Move,Babusapalaya,3 BHK,,1611,2.0,2.0,58.841796875
Built-up  Area,Ready To Move,Samethanahalli,2 BHK,SPontna,1160,2.0,2.0,30.744140625
Super built-up  Area,18-Apr,Attibele,2 BHK,,1150,2.0,2.0,39.6630859375
Super built-up  Area,Ready To Move,Banashankari Stage III,3 BHK,Pridsi ,1260,2.0,1.0,52.3916015625
Super built-up  Area,Ready To Move,Whitefield,3 BHK,TZllaes,2750,3.0,3.0,165.2021484375
Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,2 BHK,,1196,2.0,1.0,21.7236328125
Super built-up  Area,22-May,Jakkur,3 BHK,SoineC ,1819.18,3.0,2.0,138.705078125
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,IBityin,2555,3.0,2.0,158.3408203125
Super built-up  Area,Ready To Move,Channasandra Layout,3 BHK,Aconyit,1535,2.0,2.0,42.853515625
Super built-up  Area,Ready To Move,Kundalahalli,2 BHK,Vangsld,1299,2.0,1.0,95.671875
Super built-up  Area,Ready To Move,Hoodi,2 BHK,Keers S,1257,2.0,1.0,62.390625
Super built-up  Area,21-Dec,Whitefield,3 BHK,SudenEd,1498 - 1523,3.0,0.0,113.00390625
Super built-up  Area,19-Dec,"J.P.Nagar 6th Phase , sarakki nagar",3 BHK,,1750,3.0,2.0,403758165011.54297
Super built-up  Area,21-Dec,Thanisandra,2 BHK,Bhe 2ko,1183,2.0,1.0,58.1123046875
Super built-up  Area,18-Mar,Raja Rajashware nagar,3 BHK,,1400,2.0,1.0,403758165049.1797
Super built-up  Area,Ready To Move,Malleshpalya,3 BHK,,1950,3.0,3.0,106.009765625
Built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1680,3.0,2.0,101.197265625
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,i1rtsCo,1395,3.0,2.0,72.7451171875
Plot  Area,Ready To Move,Chandapura,4 Bedroom,,1425,3.0,1.0,140.3662109375
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,,1540,3.0,1.0,94.6591796875
Super built-up  Area,Ready To Move,Old Airport Road,4 BHK,Roa 2ha,2671,4.0,,221.3857421875
Built-up  Area,Ready To Move,Malleshwaram,8 Bedroom,,6700,8.0,0.0,670.6259765625
Super built-up  Area,Ready To Move,Hebbal,3 BHK,Kacesh ,2388,3.0,2.0,175.783203125
