area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up  Area,Ready To Move,Babusapalaya,3 BHK,,1400,3.0,2.0,73.57864983300809
Plot  Area,Ready To Move,Malleshwaram,4 Bedroom,,2400,3.0,2.0,413.6833060747219
Plot  Area,Ready To Move,Kanakpura Road,3 Bedroom,ColeyNa,1200,3.0,1.0,146.6583334081811
Built-up  Area,Ready To Move,Garudachar Palya,2 BHK,UnlisAc,1050,2.0,1.0,61.87153293754115
Plot  Area,Ready To Move,Naganathapura,2 Bedroom,,1200,2.0,0.0,97.35990737818028
Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,,1050,2.0,2.0,50.945079475274895
Super built-up  Area,18-Jun,Bommasandra,3 BHK,SSestth,1295,2.0,1.0,43.996887549530854
Plot  Area,18-Mar,Gattahalli,3 Bedroom,Miiewa ,2000,2.0,2.0,149.9854005631224
Super built-up  Area,20-Dec,Whitefield,3 BHK,Somns T,1386,3.0,2.0,101.442911301137
Super built-up  Area,Ready To Move,Vittal Mallya Road,1 BHK,Gantspa,950,1.0,0.0,162.8897771765937
Super built-up  Area,18-Aug,Dasanapura,3 BHK,Tavenew,843,2.0,1.0,33.02350924993149
Super built-up  Area,Ready To Move,Bhoganhalli,4 BHK,Pride S,2439,4.0,3.0,159.96244998005588
Built-up  Area,Ready To Move,Gottigere,2 BHK,,1280,2.0,1.0,45.716281529685304
Super built-up  Area,Ready To Move,Shingapura,2 BHK,,1010,2.0,1.0,23.87643013354264
Super built-up  Area,Ready To Move,Uttarahalli,1 BHK,,793,1.0,1.0,9.753727382477365
Built-up  Area,Ready To Move,Brookefield,2 BHK,Bhiya N,1100,2.0,1.0,60.130968751941964
Super built-up  Area,Ready To Move,Brookefield,2 BHK,,1050,2.0,3.0,53.18276066502125
Super built-up  Area,Ready To Move,Sunkadakatte,7 BHK,,40,7.0,1.0,39.1687338744635
Built-up  Area,Ready To Move,Basavanapura,2 BHK,,1220,2.0,2.0,32.35327457319387
Super built-up  Area,17-Jun,Electronic City,1 BHK,Prarkun,630,1.0,1.0,6.184151751651626
Super built-up  Area,18-Dec,Raja rajeswarinagar 5th Stage,3 BHK,,1444,3.0,2.0,107.06185137523698
Super built-up  Area,Ready To Move,Harlur,3 BHK,SrEndPo,1710,3.0,2.0,117.78833462606643
Plot  Area,Ready To Move,Seegehalli,4 Bedroom,,800,3.0,1.0,121.23730304065992
Super built-up  Area,18-Dec,Hosur Road,3 BHK,PuendWe,1745,3.0,1.0,111.60061905082175
Built-up  Area,Ready To Move,Kammasandra,2 BHK,Prarkhi,870,2.0,0.0,21.869879724752238
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,,1250,2.0,3.0,45.109027196500875
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,NRowse ,1393,3.0,2.0,88.6563338966931
Super built-up  Area,Ready To Move,RMV Extension,2 BHK,S alsPe,1000,2.0,2.0,49.5670988837898
Built-up  Area,Ready To Move,"Sarjapur Road, ",2 BHK,,1371,2.0,1.0,89.26726647238651
Super built-up  Area,19-Dec,Whitefield,3 BHK,Goted U,2140,3.0,2.0,139.08281332918622
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,,1450,3.0,3.0,85.69680782613281
Super built-up  Area,Ready To Move,8th Phase JP Nagar,3 BHK,,1580,3.0,1.0,92.96995759354739
Super built-up  Area,Ready To Move,Billekahalli,2 BHK,Saaveri,1368,2.0,1.0,73.7355781463084
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Prarkun,1128,2.0,1.0,51.52348821995507
Super built-up  Area,18-Dec,Rachenahalli,2 BHK,Shileve,1171,2.0,2.0,56.98543510577086
Plot  Area,Ready To Move,Jigani,3 Bedroom,,1200,2.0,1.0,108.20201510508844
Plot  Area,Ready To Move,SIPCOT 1,2 Bedroom,,1500,2.0,0.0,162.81995724037648
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1564,3.0,1.0,97.615773254766
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Aklia R,1345,2.0,1.0,54.255975907509665
Super built-up  Area,Ready To Move,Doddanakundi Industrial Area 2,3 BHK,,1512,2.0,2.0,70.9401436554154
Super built-up  Area,18-Dec,Electronic City Phase II,2 BHK,Assha A,775,2.0,2.0,22.362324517963998
Plot  Area,18-Apr,TC Palaya,3 Bedroom,,1200,2.0,0.0,80.37105953458868
Super built-up  Area,18-Apr,Electronic City,2 BHK,,1090,2.0,1.0,49.62651703021254
Super built-up  Area,Ready To Move,Sugama Layout,2 BHK,,800,2.0,1.0,46.77037249763896
Plot  Area,Ready To Move,Ejipura,8 Bedroom,,969,5.0,3.0,158.43599990229228
Super built-up  Area,18-Mar,Kothanur,2 BHK,,1095,2.0,2.0,37.49801775349191
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Daives ,1483,2.0,3.0,64.84067201905523
Super built-up  Area,21-Mar,Yelahanka,2 BHK,Goues A,1252,2.0,2.0,44.342160259049024
Plot  Area,Ready To Move,Palanahalli,4 Bedroom,RMaanSa,3375,2.0,1.0,387.672672124161
Plot  Area,Ready To Move,Kasturi Nagar,6 Bedroom,,2400,6.0,3.0,295.6452451359869
Built-up  Area,Ready To Move,Iblur Village,4 BHK,Emine P,3650,4.0,0.0,255.93654412979492
Built-up  Area,Ready To Move,Doddathoguru,2 BHK,Vayali ,900,2.0,1.0,33.663490388070926
Plot  Area,Ready To Move,ITPL,4 Bedroom,,2440,5.0,2.0,209.69979464277466
Super built-up  Area,17-Jul,Channasandra,2 BHK,,1010,2.0,2.0,20.03048815598204
Super built-up  Area,Ready To Move,Hulimavu,3 BHK,Grure S,1680,3.0,3.0,103.87566349240377
Plot  Area,Ready To Move,Giri Nagar,3 Bedroom,,2400,3.0,0.0,307.8353032521687
Super built-up  Area,Ready To Move,BSK STAGE 2,3 BHK,,1990,2.0,1.0,112.50877885422831
Super built-up  Area,Ready To Move,Reliaable Tranquil Layout,3 BHK,NSnexav,1523,3.0,2.0,87.23445160318309
Super built-up  Area,Ready To Move,Bhoganhalli,4 BHK,Pride S,2439,4.0,3.0,159.96244998005588
Plot  Area,Ready To Move,EPIP Zone,3 Bedroom,,4930,4.0,1.0,369.06754942105266
Plot  Area,Ready To Move,ITI Employees Layout,5 Bedroom,,1200,5.0,3.0,258.8690460945023
Super built-up  Area,18-Aug,Whitefield,2 BHK,SSdhimr,1195,2.0,2.0,71.42910523417456
Super built-up  Area,Ready To Move,B Narayanapura,2 BHK,Neisear,1050,2.0,2.0,47.87446241584537
Built-up  Area,Ready To Move,Electronic City,2 BHK,,550,1.0,1.0,1.2945830232625042
Built-up  Area,Ready To Move,Devanahalli,1 BHK,Cerdsga,540,1.0,1.0,16.779500298252728
Plot  Area,Ready To Move,Ramamurthy Nagar,5 Bedroom,,1200,4.0,3.0,138.7240436282965
Super built-up  Area,Ready To Move,Hebbal,2 BHK,Prersis,1294,2.0,1.0,103.54340255985176
Built-up  Area,Ready To Move,Chandapura,3 BHK,Riiew L,1345,3.0,2.0,65.6032293173122
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,,1100,2.0,1.0,66.91228873510018
Plot  Area,Ready To Move,Hoodi,3 Bedroom,,1500,3.0,3.0,160.2564269602715
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,Paune F,1560,3.0,2.0,100.26649098474611
Plot  Area,Ready To Move,Bannerghatta Road,5 Bedroom,,780,6.0,3.0,196.72194746653372
Built-up  Area,Ready To Move,Thanisandra,3 BHK,,1565,2.0,2.0,71.4992921395624
Super built-up  Area,15-Oct,Thippasandra main,3 BHK,,1790,3.0,,128.73879399743987
Plot  Area,Immediate Possession,Chikkaballapur,,PrandHo,1200 - 2000,,,81.44225637094279
Super built-up  Area,19-Sep,Kanakpura Road,3 BHK,Soazak ,1594.98,3.0,1.0,97.3387728545977
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,RAncyeg,1055,2.0,1.0,38.05938935534
Super built-up  Area,18-Dec,Electronics City Phase 1,2 BHK,,1060,2.0,1.0,48.62971317701434
Super built-up  Area,Ready To Move,Bisuvanahalli,2 BHK,Prityel,845,2.0,1.0,35.80519469955891
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,Brway G,1640,3.0,3.0,276.4439271016429
Plot  Area,Ready To Move,Muthyala Nagar,4 Bedroom,,1350,4.0,2.0,182.18674807564474
Super built-up  Area,18-Dec,Whitefield,3 BHK,Prtates,2280,4.0,2.0,170.08346822282056
Carpet  Area,Ready To Move,Pulkeshi Nagar,2 BHK,ElaleSp,1250,2.0,3.0,88.40087110451623
Built-up  Area,Ready To Move,Hegde Nagar,2 BHK,Dhniaad,1016,2.0,1.0,56.656847266630365
Plot  Area,Ready To Move,Jinkethimmanahalli,5 Bedroom,,1230,5.0,1.0,166.6837092223714
Built-up  Area,Ready To Move,TPV Layout,3 BHK,Crior E,1480,3.0,0.0,113.31117533962097
Super built-up  Area,Ready To Move,Kundalahalli,2 BHK,Dieldli,736,1.0,0.0,45.74917318829034
Plot  Area,Ready To Move,Esther Enclave Layout,1 Bedroom,,1200,1.0,1.0,65.65111791744533
Plot  Area,17-Jan,Whitefield,4 Bedroom,Ieuseut,1400,4.0,2.0,191.6579037095796
Built-up  Area,Ready To Move,Whitefield,3 BHK,Pae 1ov,1500,2.0,1.0,85.37194419734655
Built-up  Area,Ready To Move,Kumaraswami Layout,3 Bedroom,,1000,3.0,1.0,60.546958018492134
Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,HMwerCo,1717,3.0,3.0,116.41575544714267
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,Bhmesy ,1056,2.0,2.0,49.574973473467224
Plot  Area,Ready To Move,TC Palaya,3 Bedroom,,1200,2.0,0.0,80.37105953458868
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Maoma P,1200,2.0,2.0,71.67870670650909
Super built-up  Area,Ready To Move,Horamavu Agara,2 BHK,Suise S,1130,2.0,1.0,41.08597592316214
Super built-up  Area,Ready To Move,New Thippasandra,3 BHK,,1575,2.0,2.0,103.60369963718054
Super built-up  Area,19-Jun,Yelahanka,3 BHK,Vaaram ,1892 - 2798,3.0,0.0,123.78859267181566
Super built-up  Area,Ready To Move,Mico Layout,3 BHK,Amsomun,1685,3.0,2.0,86.77891023384153
Super built-up  Area,Ready To Move,Kanaka Nagar,2 BHK,,1000,2.0,3.0,35.612497211176134
Super built-up  Area,Ready To Move,Billekahalli,2 BHK,,1100,2.0,2.0,58.15467886085061
Plot  Area,Ready To Move,Bellandur,3 Bedroom,Vaodssh,2400,3.0,2.0,212.47267196067605
Super built-up  Area,18-Dec,Sarjapur  Road,2 BHK,PualeSk,1346,2.0,1.0,80.3575608279943
Super built-up  Area,19-Dec,Whitefield,1 BHK,Oreldhi,524 - 894,1.0,0.0,31.093333036126452
Super built-up  Area,Ready To Move,Benson Town,4 BHK,DFityin,2938,6.0,2.0,397.1394565738101
Super built-up  Area,21-May,Dairy Circle,3 BHK,Soeurri,1908,3.0,2.0,249.63877433007303
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,SaireSa,1832,3.0,1.0,121.45948917841838
Built-up  Area,Ready To Move,Banashankari Stage VI,4 BHK,,3150,4.0,0.0,166.7735815347591
Super built-up  Area,Ready To Move,"JP nagar 9th phase , ",3 BHK,,1846,3.0,2.0,127.12980975093431
Built-up  Area,Ready To Move,Hormavu,5 Bedroom,,2000,4.0,2.0,125.20480772461856
Super built-up  Area,18-Mar,BTM Layout,2 BHK,Sudeslv,920,2.0,1.0,56.28549099717854
Super built-up  Area,Ready To Move,Kodichikkanahalli,2 BHK,Jae 1ke,700,2.0,2.0,19.414789322339885
Super built-up  Area,Ready To Move,Hoodi Layout,3 BHK,SVstos ,1610,3.0,2.0,108.91178078502426
Plot  Area,18-Mar,Lingarajapuram,4 Bedroom,,1200,3.0,1.0,117.80988634066817
Plot  Area,Ready To Move,Whitefield,5 Bedroom,Ske 2ad,3927,5.0,3.0,336.08325728291476
Super built-up  Area,18-Apr,Jalahalli,3 BHK,DSata S,1222,2.0,2.0,63.44041290671677
Super built-up  Area,Ready To Move,Gottigere,2 BHK,DSghtra,900,2.0,1.0,26.698897005337145
Super built-up  Area,22-May,Jakkur,3 BHK,SoineC ,1819.18,3.0,2.0,138.4863581009721
Built-up  Area,Ready To Move,Ramamurthy Nagar,4 Bedroom,,1200,2.0,1.0,29.648315037698737
Plot  Area,Ready To Move,Vidyaranyapura,2 Bedroom,,1080,2.0,0.0,91.84081738216824
Super built-up  Area,Ready To Move,Kogilu,2 BHK,,1170,2.0,2.0,51.406045803671276
Super built-up  Area,Ready To Move,Nagarbhavi,3 BHK,DSesthr,1530,2.0,2.0,90.849371261415
Plot  Area,Ready To Move,Vivek Nagar,4 Bedroom,,2025,3.0,0.0,184.47662782746613
Super built-up  Area,Ready To Move,Electronic City,3 BHK,BrnoxEq,1700,3.0,2.0,98.35466611048355
Super built-up  Area,Ready To Move,Koramangala,2 BHK,Ariew J,900,2.0,2.0,134.56294861336298
Super built-up  Area,Ready To Move,Bannerghatta,2 BHK,,650,1.0,2.0,11.735720150299684
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1207,2.0,2.0,43.007423936196034
Super built-up  Area,18-May,Banashankari Stage III,3 BHK,Pridsi ,1305,2.0,1.0,55.18228742456118
Super built-up  Area,Ready To Move,Old Madras Road,3 BHK,Saciatt,2425,3.0,2.0,132.6572705786175
Super built-up  Area,19-Dec,Hoodi,3 BHK,Caycend,1724,3.0,2.0,104.60375482706228
Plot  Area,Ready To Move,Abbigere,4 Bedroom,,1200,4.0,,142.68646330756394
Super built-up  Area,18-Dec,Raja Rajeshwari Nagar,1 BHK,Prllsan,648,1.0,0.0,0.9725297579363996
Super built-up  Area,18-Oct,Kathriguppe,2 BHK,,1115,2.0,2.0,59.567642682841594
Plot  Area,Ready To Move,Mahalakshmi Layout,4 Bedroom,,3750,4.0,2.0,402.6632065262772
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,Valdsic,2600,3.0,,156.5881179669837
Built-up  Area,Ready To Move,"Sarjapur Road, ",3 BHK,,1561,3.0,2.0,117.02889187655583
Built-up  Area,Ready To Move,Volagerekallahalli,2 BHK,PSterAs,1050,2.0,0.0,41.632578820663866
Plot  Area,Ready To Move,R.T. Nagar,7 Bedroom,,2400,8.0,,331.96030586200135
Super built-up  Area,18-Sep,HBR Layout,1 BHK,SLvasNi,534 - 763,1.0,0.0,31.862490403308428
Super built-up  Area,Ready To Move,Doddabommasandra,2 BHK,MaaveEn,1150,2.0,2.0,201.7825852758295
Super built-up  Area,Ready To Move,Chikkasanne,3 BHK,Hieryni,1550,3.0,1.0,114.55566295705555
Super built-up  Area,Ready To Move,Ananth Nagar,2 BHK,Patri M,937,2.0,1.0,29.663480108133555
Plot  Area,Ready To Move,Malleshwaram,4 Bedroom,,2340,3.0,2.0,410.6880884067074
Plot  Area,Ready To Move,Electronic City,2 Bedroom,,2100,2.0,2.0,166.88083253558722
Built-up  Area,Ready To Move,Herohalli,1 Bedroom,,600,1.0,0.0,13.336422783466489
Built-up  Area,Ready To Move,Harlur,5 Bedroom,Shodsir,3600,5.0,3.0,250.94116307468636
Super built-up  Area,Ready To Move,Ashwathnagar,3 BHK,Puinaia,1935,2.0,1.0,145.8336361182058
Super built-up  Area,18-May,Haralur Road,4 BHK,SNnia E,3210,6.0,,252.26868684003588
Super built-up  Area,18-Mar,Electronic City,2 BHK,Prarkun,1108,2.0,1.0,50.5250823306169
Super built-up  Area,Ready To Move,Malleshwaram,2 BHK,Kaamai ,985,1.0,2.0,233.05095129435713
Super built-up  Area,Ready To Move,Gottigere,3 BHK,KSicaxo,1500,3.0,2.0,74.92784314093907
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1185,2.0,2.0,41.909177457924045
Super built-up  Area,20-Dec,Varthur,3 BHK,Myple M,1545,3.0,2.0,85.04794429541404
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,,1490,2.0,2.0,59.2921582368852
Super built-up  Area,Ready To Move,Sonnenahalli,2 BHK,Skacak ,1268,2.0,1.0,59.91120682915667
Plot  Area,Ready To Move,Vijaya Bank Layout,5 Bedroom,,2400,5.0,1.0,292.1357018221202
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,DLhtsnd,1410,2.0,2.0,58.42994804806058
Super built-up  Area,18-Aug,1st Phase JP Nagar,2 BHK,,1080,2.0,2.0,100.4884276438148
Super built-up  Area,Ready To Move,Chokkanahalli,3 BHK,DSineSu,1350,2.0,2.0,41.591678300918815
Built-up  Area,Ready To Move,Bellandur,2 BHK,Kritel ,1300,2.0,1.0,70.29417275641951
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Cooutid,1800,2.0,3.0,95.08406993483422
Super built-up  Area,18-Feb,Uttarahalli,2 BHK,DSera S,1068,2.0,1.0,43.96083818466015
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,,1170,2.0,2.0,64.67166513497335
Built-up  Area,Ready To Move,Neeladri Nagar,2 BHK,OmentCl,1200,2.0,3.0,39.35433266008948
Plot  Area,Ready To Move,Thyagaraja Nagar,4 Bedroom,,800,3.0,2.0,139.15831039870645
Super built-up  Area,Ready To Move,Arekere,3 BHK,,1809,2.0,3.0,85.05603092624455
Super built-up  Area,18-Apr,Electronic City,3 BHK,Prarkun,1615,3.0,2.0,94.11144108079631
Built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,DLhtsnd,1662,3.0,2.0,95.0693485489115
Super built-up  Area,18-Jun,Kogilu,3 BHK,Leora E,2215,5.0,1.0,174.27767105023426
Super built-up  Area,Ready To Move,Dodda Nekkundi,3 BHK,,1999,3.0,2.0,138.970900979424
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,,1150,2.0,,64.79674093624959
Plot  Area,19-Dec,Kasavanhalli,4 Bedroom,,4395,4.0,2.0,341.8206726837565
Super built-up  Area,Ready To Move,Babusapalaya,3 BHK,,1611,2.0,2.0,60.10001829725873
Built-up  Area,Ready To Move,Samethanahalli,2 BHK,SPontna,1160,2.0,2.0,37.424308614545765
Super built-up  Area,18-Apr,Attibele,2 BHK,,1150,2.0,2.0,41.586746036062834
Super built-up  Area,Ready To Move,Banashankari Stage III,3 BHK,Pridsi ,1260,2.0,1.0,52.93587417355029
Super built-up  Area,Ready To Move,Whitefield,3 BHK,TZllaes,2750,3.0,3.0,167.33193258567434
Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,2 BHK,,1196,2.0,1.0,25.382978785035576
Super built-up  Area,22-May,Jakkur,3 BHK,SoineC ,1819.18,3.0,2.0,138.4863581009721
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,IBityin,2555,3.0,2.0,160.23114535550877
Super built-up  Area,Ready To Move,Channasandra Layout,3 BHK,Aconyit,1535,2.0,2.0,47.85553468930894
Super built-up  Area,Ready To Move,Kundalahalli,2 BHK,Vangsld,1299,2.0,1.0,95.66385227310087
Super built-up  Area,Ready To Move,Hoodi,2 BHK,Keers S,1257,2.0,1.0,63.014207855559214
Super built-up  Area,21-Dec,Whitefield,3 BHK,SudenEd,1498 - 1523,3.0,0.0,112.0625086989196
Super built-up  Area,19-Dec,"J.P.Nagar 6th Phase , sarakki nagar",3 BHK,,1750,3.0,2.0,122.33746148211108
Super built-up  Area,21-Dec,Thanisandra,2 BHK,Bhe 2ko,1183,2.0,1.0,58.11711123909086
Super built-up  Area,18-Mar,Raja Rajashware nagar,3 BHK,,1400,2.0,1.0,83.05580511875212
Super built-up  Area,Ready To Move,Malleshpalya,3 BHK,,1950,3.0,3.0,108.82385509366965
