area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up  Area,18-Dec,Electronics City Phase 1,2 BHK,,1060,2.0,1.0,60.21966369473051
Super built-up  Area,Ready To Move,Bisuvanahalli,2 BHK,Prityel,845,2.0,1.0,47.92923552223259
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,Brway G,1640,3.0,3.0,152.96208096449865
Plot  Area,Ready To Move,Muthyala Nagar,4 Bedroom,,1350,4.0,2.0,176.51458285014667
Super built-up  Area,18-Dec,Whitefield,3 BHK,Prtates,2280,4.0,2.0,176.56124044595478
Carpet  Area,Ready To Move,Pulkeshi Nagar,2 BHK,ElaleSp,1250,2.0,3.0,69.45876788284981
Built-up  Area,Ready To Move,Hegde Nagar,2 BHK,Dhniaad,1016,2.0,1.0,57.70441327803326
Plot  Area,Ready To Move,Jinkethimmanahalli,5 Bedroom,,1230,5.0,1.0,193.86288240590054
Built-up  Area,Ready To Move,TPV Layout,3 BHK,Crior E,1480,3.0,0.0,108.43694563722333
Super built-up  Area,Ready To Move,Kundalahalli,2 BHK,Dieldli,736,1.0,0.0,18.494702997368975
Plot  Area,Ready To Move,Esther Enclave Layout,1 Bedroom,,1200,1.0,1.0,98.56005412095004
Plot  Area,17-Jan,Whitefield,4 Bedroom,Ieuseut,1400,4.0,2.0,179.3728219600299
Built-up  Area,Ready To Move,Whitefield,3 BHK,Pae 1ov,1500,2.0,1.0,84.75446558642147
Built-up  Area,Ready To Move,Kumaraswami Layout,3 Bedroom,,1000,3.0,1.0,80.18674796762576
Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,HMwerCo,1717,3.0,3.0,119.55169237391438
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,Bhmesy ,1056,2.0,2.0,59.17990235122135
Plot  Area,Ready To Move,TC Palaya,3 Bedroom,,1200,2.0,0.0,122.15042526514216
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Maoma P,1200,2.0,2.0,67.41163098768507
Super built-up  Area,Ready To Move,Horamavu Agara,2 BHK,Suise S,1130,2.0,1.0,64.22119844856704
Super built-up  Area,Ready To Move,New Thippasandra,3 BHK,,1575,2.0,2.0,88.23072203652782
Super built-up  Area,19-Jun,Yelahanka,3 BHK,Vaaram ,1892 - 2798,3.0,0.0,157.88448223820333
Super built-up  Area,Ready To Move,Mico Layout,3 BHK,Amsomun,1685,3.0,2.0,118.5335215583076
Super built-up  Area,Ready To Move,Kanaka Nagar,2 BHK,,1000,2.0,3.0,55.167572333433625
Super built-up  Area,Ready To Move,Billekahalli,2 BHK,,1100,2.0,2.0,61.69515276791859
Plot  Area,Ready To Move,Bellandur,3 Bedroom,Vaodssh,2400,3.0,2.0,213.1406329529395
Super built-up  Area,18-Dec,Sarjapur  Road,2 BHK,PualeSk,1346,2.0,1.0,76.56879140326262
Super built-up  Area,19-Dec,Whitefield,1 BHK,Oreldhi,524 - 894,1.0,0.0,17.56895615331355
Super built-up  Area,Ready To Move,Benson Town,4 BHK,DFityin,2938,6.0,2.0,261.5873118168099
Super built-up  Area,21-May,Dairy Circle,3 BHK,Soeurri,1908,3.0,2.0,131.28126798838684
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,SaireSa,1832,3.0,1.0,127.74784675608282
Built-up  Area,Ready To Move,Banashankari Stage VI,4 BHK,,3150,4.0,0.0,227.29910311207857
Super built-up  Area,Ready To Move,"JP nagar 9th phase , ",3 BHK,,1846,3.0,2.0,127.73705149213163
Built-up  Area,Ready To Move,Hormavu,5 Bedroom,,2000,4.0,2.0,159.31969688004563
Super built-up  Area,18-Mar,BTM Layout,2 BHK,Sudeslv,920,2.0,1.0,52.216594187057446
Super built-up  Area,Ready To Move,Kodichikkanahalli,2 BHK,Jae 1ke,700,2.0,2.0,38.82923988885268
Super built-up  Area,Ready To Move,Hoodi Layout,3 BHK,SVstos ,1610,3.0,2.0,114.24616289348275
Plot  Area,18-Mar,Lingarajapuram,4 Bedroom,,1200,3.0,1.0,144.7362942551788
Plot  Area,Ready To Move,Whitefield,5 Bedroom,Ske 2ad,3927,5.0,3.0,346.41409556356535
Super built-up  Area,18-Apr,Jalahalli,3 BHK,DSata S,1222,2.0,2.0,68.05155392075218
Super built-up  Area,Ready To Move,Gottigere,2 BHK,DSghtra,900,2.0,1.0,51.07329854310415
Super built-up  Area,22-May,Jakkur,3 BHK,SoineC ,1819.18,3.0,2.0,126.20389203359026
Built-up  Area,Ready To Move,Ramamurthy Nagar,4 Bedroom,,1200,2.0,1.0,66.98732865184053
Plot  Area,Ready To Move,Vidyaranyapura,2 Bedroom,,1080,2.0,0.0,115.90835367670391
Super built-up  Area,Ready To Move,Kogilu,2 BHK,,1170,2.0,2.0,65.69668752175512
Super built-up  Area,Ready To Move,Nagarbhavi,3 BHK,DSesthr,1530,2.0,2.0,85.65830683763292
Plot  Area,Ready To Move,Vivek Nagar,4 Bedroom,,2025,3.0,0.0,192.7083417829707
Super built-up  Area,Ready To Move,Electronic City,3 BHK,BrnoxEq,1700,3.0,2.0,119.39099329127258
Super built-up  Area,Ready To Move,Koramangala,2 BHK,Ariew J,900,2.0,2.0,50.26219632838565
Super built-up  Area,Ready To Move,Bannerghatta,2 BHK,,650,1.0,2.0,11.956327298932806
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1207,2.0,2.0,67.81178446306872
Super built-up  Area,18-May,Banashankari Stage III,3 BHK,Pridsi ,1305,2.0,1.0,73.60733305787684
Super built-up  Area,Ready To Move,Old Madras Road,3 BHK,Saciatt,2425,3.0,2.0,160.8354603845795
Super built-up  Area,19-Dec,Hoodi,3 BHK,Caycend,1724,3.0,2.0,120.76294806401653
Plot  Area,Ready To Move,Abbigere,4 Bedroom,,1200,4.0,,169.56206994993397
Super built-up  Area,18-Dec,Raja Rajeshwari Nagar,1 BHK,Prllsan,648,1.0,0.0,14.081904439255993
Super built-up  Area,18-Oct,Kathriguppe,2 BHK,,1115,2.0,2.0,62.55262450088356
Plot  Area,Ready To Move,Mahalakshmi Layout,4 Bedroom,,3750,4.0,2.0,313.71006012454205
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,Valdsic,2600,3.0,,172.46150169860783
Built-up  Area,Ready To Move,"Sarjapur Road, ",3 BHK,,1561,3.0,2.0,111.44508856579718
Built-up  Area,Ready To Move,Volagerekallahalli,2 BHK,PSterAs,1050,2.0,0.0,60.45911808747235
Plot  Area,Ready To Move,R.T. Nagar,7 Bedroom,,2400,8.0,,332.3653956814337
Super built-up  Area,18-Sep,HBR Layout,1 BHK,SLvasNi,534 - 763,1.0,0.0,14.11048683035483
Super built-up  Area,Ready To Move,Doddabommasandra,2 BHK,MaaveEn,1150,2.0,2.0,64.55339187780183
Super built-up  Area,Ready To Move,Chikkasanne,3 BHK,Hieryni,1550,3.0,1.0,111.62737817634137
Super built-up  Area,Ready To Move,Ananth Nagar,2 BHK,Patri M,937,2.0,1.0,53.18839548441775
Plot  Area,Ready To Move,Malleshwaram,4 Bedroom,,2340,3.0,2.0,209.09304374579813
Plot  Area,Ready To Move,Electronic City,2 Bedroom,,2100,2.0,2.0,172.59422708888496
Built-up  Area,Ready To Move,Herohalli,1 Bedroom,,600,1.0,0.0,11.337994893768084
Built-up  Area,Ready To Move,Harlur,5 Bedroom,Shodsir,3600,5.0,3.0,273.9869196616274
Super built-up  Area,Ready To Move,Ashwathnagar,3 BHK,Puinaia,1935,2.0,1.0,109.62114584240564
Super built-up  Area,18-May,Haralur Road,4 BHK,SNnia E,3210,6.0,,278.75833700401176
Super built-up  Area,18-Mar,Electronic City,2 BHK,Prarkun,1108,2.0,1.0,62.963573240218416
Super built-up  Area,Ready To Move,Malleshwaram,2 BHK,Kaamai ,985,1.0,2.0,31.106529335150498
Super built-up  Area,Ready To Move,Gottigere,3 BHK,KSicaxo,1500,3.0,2.0,107.95803685173962
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1185,2.0,2.0,66.5541592547201
Super built-up  Area,20-Dec,Varthur,3 BHK,Myple M,1545,3.0,2.0,110.53045205063454
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,,1490,2.0,2.0,83.37171554972633
Super built-up  Area,Ready To Move,Sonnenahalli,2 BHK,Skacak ,1268,2.0,1.0,72.10993839184476
Plot  Area,Ready To Move,Vijaya Bank Layout,5 Bedroom,,2400,5.0,1.0,260.7456775771683
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,DLhtsnd,1410,2.0,2.0,78.79853297391315
Super built-up  Area,18-Aug,1st Phase JP Nagar,2 BHK,,1080,2.0,2.0,60.551857123965306
Super built-up  Area,Ready To Move,Chokkanahalli,3 BHK,DSineSu,1350,2.0,2.0,75.36864604205327
Built-up  Area,Ready To Move,Bellandur,2 BHK,Kritel ,1300,2.0,1.0,73.93921142217005
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Cooutid,1800,2.0,3.0,100.2816958162839
Super built-up  Area,18-Feb,Uttarahalli,2 BHK,DSera S,1068,2.0,1.0,60.67698195231183
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,,1170,2.0,2.0,65.07898524647361
Built-up  Area,Ready To Move,Neeladri Nagar,2 BHK,OmentCl,1200,2.0,3.0,66.60052877296657
Plot  Area,Ready To Move,Thyagaraja Nagar,4 Bedroom,,800,3.0,2.0,121.05927916139441
Super built-up  Area,Ready To Move,Arekere,3 BHK,,1809,2.0,3.0,100.79617885606288
Super built-up  Area,18-Apr,Electronic City,3 BHK,Prarkun,1615,3.0,2.0,114.53198680447107
Built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,DLhtsnd,1662,3.0,2.0,117.21873156776131
Super built-up  Area,18-Jun,Kogilu,3 BHK,Leora E,2215,5.0,1.0,197.67130529786172
Super built-up  Area,Ready To Move,Dodda Nekkundi,3 BHK,,1999,3.0,2.0,136.48326316837432
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,,1150,2.0,,66.17559630723883
Plot  Area,19-Dec,Kasavanhalli,4 Bedroom,,4395,4.0,2.0,350.5813446420358
Super built-up  Area,Ready To Move,Babusapalaya,3 BHK,,1611,2.0,2.0,90.28865419564376
Built-up  Area,Ready To Move,Samethanahalli,2 BHK,SPontna,1160,2.0,2.0,65.12503969977848
Super built-up  Area,18-Apr,Attibele,2 BHK,,1150,2.0,2.0,64.55339187780183
Super built-up  Area,Ready To Move,Banashankari Stage III,3 BHK,Pridsi ,1260,2.0,1.0,71.03491785898194
Super built-up  Area,Ready To Move,Whitefield,3 BHK,TZllaes,2750,3.0,3.0,178.60291238410204
Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,2 BHK,,1196,2.0,1.0,67.99407407361292
Super built-up  Area,22-May,Jakkur,3 BHK,SoineC ,1819.18,3.0,2.0,126.20389203359026
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,IBityin,2555,3.0,2.0,168.26688207027593
Super built-up  Area,Ready To Move,Channasandra Layout,3 BHK,Aconyit,1535,2.0,2.0,85.94413074862125
Super built-up  Area,Ready To Move,Kundalahalli,2 BHK,Vangsld,1299,2.0,1.0,73.88204663997237
Super built-up  Area,Ready To Move,Hoodi,2 BHK,Keers S,1257,2.0,1.0,71.48112578767046
Super built-up  Area,21-Dec,Whitefield,3 BHK,SudenEd,1498 - 1523,3.0,0.0,110.1804714942521
Super built-up  Area,19-Dec,"J.P.Nagar 6th Phase , sarakki nagar",3 BHK,,1750,3.0,2.0,122.24923240115581
Super built-up  Area,21-Dec,Thanisandra,2 BHK,Bhe 2ko,1183,2.0,1.0,67.25093190504327
Super built-up  Area,18-Mar,Raja Rajashware nagar,3 BHK,,1400,2.0,1.0,79.037987366655
Super built-up  Area,Ready To Move,Malleshpalya,3 BHK,,1950,3.0,3.0,132.87108662597026
